price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,yr_built
221900,3,1.0,1180,5650,1.0,0,7,1955
538000,3,2.25,2570,7242,2.0,0,7,1951
180000,2,1.0,770,10000,1.0,0,6,1933
604000,4,3.0,1960,5000,1.0,0,7,1965
510000,3,2.0,1680,8080,1.0,0,8,1987
1225000,4,4.5,5420,101930,1.0,0,11,2001
257500,3,2.25,1715,6819,2.0,0,7,1995
291850,3,1.5,1060,9711,1.0,0,7,1963
229500,3,1.0,1780,7470,1.0,0,7,1960
323000,3,2.5,1890,6560,2.0,0,7,2003
662500,3,2.5,3560,9796,1.0,0,8,1965
468000,2,1.0,1160,6000,1.0,0,7,1942
310000,3,1.0,1430,19901,1.5,0,7,1927
400000,3,1.75,1370,9680,1.0,0,7,1977
530000,5,2.0,1810,4850,1.5,0,7,1900
650000,4,3.0,2950,5000,2.0,0,9,1979
395000,3,2.0,1890,14040,2.0,0,7,1994
485000,4,1.0,1600,4300,1.5,0,7,1916
189000,2,1.0,1200,9850,1.0,0,7,1921
230000,3,1.0,1250,9774,1.0,0,7,1969
385000,4,1.75,1620,4980,1.0,0,7,1947
2000000,3,2.75,3050,44867,1.0,0,9,1968
285000,5,2.5,2270,6300,2.0,0,8,1995
252700,2,1.5,1070,9643,1.0,0,7,1985
329000,3,2.25,2450,6500,2.0,0,8,1985
233000,3,2.0,1710,4697,1.5,0,6,1941
937000,3,1.75,2450,2691,2.0,0,8,1915
667000,3,1.0,1400,1581,1.5,0,8,1909
438000,3,1.75,1520,6380,1.0,0,7,1948
719000,4,2.5,2570,7173,2.0,0,8,2005
580500,3,2.5,2320,3980,2.0,0,8,2003
280000,2,1.5,1190,1265,3.0,0,7,2005
687500,4,1.75,2330,5000,1.5,0,7,1929
535000,3,1.0,1090,3000,1.5,0,8,1929
322500,4,2.75,2060,6659,1.0,0,7,1981
696000,3,2.5,2300,3060,1.5,0,8,1930
550000,4,1.0,1660,34848,1.0,0,5,1933
640000,4,2.0,2360,6000,2.0,0,8,1904
240000,4,1.0,1220,8075,1.0,0,7,1969
605000,4,2.5,2620,7553,2.0,0,8,1996
625000,4,2.5,2570,5520,2.0,0,9,2000
775000,4,2.25,4220,24186,1.0,0,8,1984
861990,5,2.75,3595,5639,2.0,0,9,2014
685000,3,1.0,1570,2280,2.0,0,7,1922
309000,3,1.0,1280,9656,1.0,0,6,1959
488000,3,2.5,3160,13603,2.0,0,8,2003
210490,3,1.0,990,8528,1.0,0,6,1966
785000,4,2.5,2290,13416,2.0,0,9,1981
450000,3,1.75,1250,5963,1.0,0,7,1953
1350000,3,2.5,2753,65005,1.0,1,9,1953
228000,3,1.0,1190,9199,1.0,0,7,1955
345000,5,2.5,3150,9134,1.0,0,8,1966
600000,3,1.75,1410,4080,1.0,0,7,1950
585000,2,1.75,1980,8550,1.0,0,7,1981
920000,5,2.25,2730,6000,1.5,0,8,1927
885000,4,2.5,2830,5000,2.0,0,9,1995
292500,4,2.5,2250,4495,2.0,0,7,2008
301000,3,2.5,2420,4750,2.0,0,8,2003
951000,5,3.25,3250,14342,2.0,0,8,1968
430000,4,3.0,1850,9976,2.0,0,8,1991
650000,3,2.25,2150,21235,1.0,0,8,1959
289000,3,1.75,1260,8400,1.0,0,7,1954
505000,3,1.75,2519,8690,2.0,0,8,1973
549000,3,1.75,1540,1044,3.0,0,8,2014
425000,3,2.25,1660,6000,1.0,0,7,1979
317625,3,2.75,2770,3809,1.5,0,7,1925
975000,4,2.5,2720,11049,2.0,0,10,1989
287000,4,2.5,2240,4648,2.0,0,7,2005
204000,3,1.0,1000,12070,1.0,0,7,1968
1325000,5,2.25,3200,20158,1.0,0,8,1965
1040000,5,3.25,4770,50094,1.0,0,11,1973
325000,3,2.0,1260,5612,1.0,0,7,1972
571000,4,2.0,2750,7807,1.5,0,7,1916
360000,4,2.5,2380,5000,2.0,0,8,2005
349000,3,1.75,1790,50529,1.0,0,7,1965
832500,4,4.0,3430,35102,2.0,0,10,1986
380000,4,1.75,1760,7300,1.0,0,7,1956
480000,3,1.0,1040,5060,1.0,0,7,1941
410000,3,1.0,1410,5060,1.0,0,7,1956
720000,4,2.5,3450,39683,2.0,0,10,2002
390000,3,2.5,2350,5100,2.0,0,8,2003
360000,4,2.5,1900,5889,2.0,0,7,1992
355000,2,1.0,2020,6720,1.0,0,7,1948
356000,3,1.5,1680,8712,1.0,0,8,1964
315000,3,1.0,960,6634,1.0,0,6,1952
940000,3,1.5,2140,3600,2.0,0,9,1925
305000,5,2.25,2660,8400,1.5,0,7,1961
461000,3,3.25,2770,6278,2.0,0,9,2006
215000,2,2.25,1610,2040,2.0,0,7,1979
335000,2,1.75,1030,1066,2.0,0,7,2006
243500,4,2.5,1980,7403,2.0,0,7,1988
1099880,5,2.75,3520,6353,2.0,0,10,2001
153000,3,1.0,1200,10500,1.0,0,7,1962
430000,3,1.5,1580,5000,1.0,0,8,1939
700000,3,1.5,1580,5000,1.0,0,8,1939
905000,4,2.5,3300,10250,1.0,0,7,1946
247500,3,1.75,1960,15681,1.0,0,7,1967
199000,4,1.5,1160,6400,1.0,0,7,1975
314000,3,1.75,1810,41800,1.0,0,7,1980
437500,3,2.5,2320,36847,2.0,0,9,1992
850830,3,2.5,2070,13241,1.5,0,9,1910
555000,3,2.0,1980,3478,1.5,0,7,1929
699950,3,2.25,2190,107593,2.0,0,8,1983
1088000,3,2.5,2920,8113,2.0,0,8,1950
290000,3,1.0,1210,33919,1.0,0,7,1954
375000,3,2.5,2340,10005,1.0,0,8,1978
460000,3,1.0,1670,4005,1.5,0,7,1939
188500,2,1.75,1240,2493,1.0,0,8,1985
680000,4,2.5,3140,28037,2.0,0,10,1991
470000,5,1.75,2030,12342,2.0,0,7,1942
597750,4,2.5,2310,9624,2.0,0,8,1984
570000,3,1.75,1260,3328,1.0,0,6,1905
272500,3,1.75,1540,12600,1.0,0,7,1980
329950,3,1.75,2080,5969,1.0,0,7,1971
480000,4,2.5,3230,16171,2.0,0,9,2001
740500,3,3.5,4380,6350,2.0,0,8,1900
518500,3,3.5,1590,1102,3.0,0,8,2010
205425,2,1.0,880,6780,1.0,0,6,1945
171800,4,2.0,1570,9600,1.0,0,6,1950
535000,4,1.0,1610,2982,1.5,0,7,1925
660000,3,2.5,2400,6474,1.0,0,8,1964
391500,3,2.0,1450,9132,1.0,0,7,1987
395000,2,1.0,770,6000,1.0,0,6,1953
445000,4,1.75,2100,4400,1.5,0,7,1924
770000,3,2.25,2910,10204,2.0,0,9,1990
1450000,4,2.75,2750,17789,1.5,0,8,1914
445000,3,2.25,2100,8201,1.0,0,8,1967
260000,4,2.25,2160,8811,1.0,0,8,1978
822500,5,3.5,2320,4960,2.0,0,7,1926
430000,4,2.5,2070,4310,2.0,0,7,2004
212000,3,1.75,1060,7875,1.0,0,7,1986
660500,4,2.25,2010,9603,1.0,0,8,1986
784000,3,3.5,3950,111078,1.5,0,9,1989
453246,3,2.5,2010,2287,2.0,0,8,2014
675000,4,3.5,2140,2278,3.0,0,9,2005
199000,3,1.75,1320,17390,1.0,0,7,1956
220000,4,1.75,2020,7840,1.0,0,7,1968
452000,4,2.25,2590,10002,1.0,0,8,1968
382500,2,1.0,1190,4440,1.0,0,6,1981
519950,3,2.25,1170,1249,3.0,0,8,2014
665000,2,1.0,1110,3200,1.0,0,7,1925
527700,5,2.5,2820,9375,1.0,0,8,1968
205000,3,1.0,1610,8579,1.0,0,7,1962
420000,3,1.0,1060,8097,1.0,0,7,1923
500000,4,2.25,2030,8517,1.0,0,8,1961
921500,4,2.5,3670,315374,2.0,0,9,1994
890000,4,1.0,2550,4000,2.0,0,8,1905
430000,2,2.5,2420,60984,2.0,0,7,2007
258000,5,2.0,2260,12500,1.0,0,8,1960
511000,3,1.0,1430,3455,1.0,0,7,1947
532170,3,2.0,1360,3090,2.0,0,8,1990
560000,3,1.0,1110,5000,1.5,0,7,1947
282950,3,1.0,1250,8200,1.0,0,7,1954
2250000,4,3.25,5180,19850,2.0,0,12,2006
350000,1,1.0,700,5100,1.0,0,7,1942
215000,3,1.0,1180,7669,1.0,0,7,1967
650000,5,3.5,3960,25245,2.0,0,9,1996
320000,4,2.75,2640,7500,1.0,0,8,1967
247000,3,2.0,1270,7198,1.5,0,7,1916
320000,4,1.75,1760,11180,1.0,0,8,1968
255000,5,2.25,2060,8632,1.0,0,7,1962
438000,3,1.75,1780,9660,1.0,0,7,1962
900000,3,2.5,3400,16603,2.0,0,10,2000
441000,3,2.75,1910,7280,1.0,0,7,1979
420000,3,2.0,2020,38332,1.0,0,7,1975
370000,3,1.75,1580,7000,1.0,0,7,1976
269950,2,1.75,1340,7250,1.0,0,5,1949
807100,4,2.5,2680,4499,2.0,0,9,1999
653000,3,2.5,2680,9750,1.0,0,8,1979
371500,3,2.0,1370,8336,1.0,0,7,1964
284000,3,1.75,1560,21000,1.0,0,7,1954
272000,3,1.75,2160,7140,1.0,0,7,1978
313000,3,1.5,1340,7912,1.5,0,7,1955
917500,4,2.5,3880,35003,2.0,0,10,1984
673000,4,2.25,2590,8190,2.0,0,8,1980
425000,3,2.5,1120,1100,2.0,0,8,2008
399950,5,2.75,1970,5400,1.0,0,7,1986
385000,3,1.0,1220,4800,1.0,0,6,1901
269950,3,1.5,1950,7560,1.0,0,7,1975
330000,2,1.0,1350,8220,1.0,0,7,1949
260000,3,2.5,1670,5797,2.0,0,7,1988
470000,4,3.0,2380,5125,1.5,0,7,1925
589000,4,3.0,2440,9600,2.0,0,7,1961
163500,2,1.5,1050,3419,2.0,0,7,1996
835000,4,2.75,3130,13412,2.0,0,9,1993
1095000,5,3.0,4090,12850,1.0,0,10,1986
269000,4,1.75,1490,10000,1.0,0,8,1969
560000,3,2.5,1900,8744,2.0,0,8,1987
615000,4,1.0,1330,2400,1.5,0,6,1901
585188,3,2.25,2230,10026,1.0,0,8,1975
305000,3,1.75,1650,9480,1.0,0,7,1977
166950,3,1.0,1190,8820,1.0,0,6,1959
799000,3,2.5,2140,9897,1.0,0,8,1959
400000,3,2.5,2180,7508,1.0,0,7,1962
230000,3,1.0,1060,10228,1.0,0,7,1948
256883,3,2.5,1690,5025,2.0,0,8,2003
423000,4,2.0,1970,6480,1.5,0,7,1920
465000,3,2.5,2150,4084,2.0,0,8,2007
440000,3,2.5,1910,66211,2.0,0,7,1997
385000,3,1.75,1350,155073,1.0,0,7,1969
210000,3,1.0,860,11725,1.0,0,6,1943
297000,3,2.5,1940,14952,2.0,0,8,1994
470000,3,1.0,1010,5000,1.0,0,7,1952
226500,3,1.5,1300,7370,1.0,0,7,1976
274250,3,1.0,910,8450,1.0,0,6,1962
840000,4,1.75,2480,11010,1.0,0,9,1966
677900,3,2.5,2440,4587,2.0,0,8,2010
425000,3,1.0,1010,5864,1.0,0,7,1915
180250,2,0.75,900,9600,1.0,0,6,1941
464000,6,3.0,2300,3404,2.0,0,7,1920
320000,4,2.25,1550,7579,2.0,0,8,1993
625504,3,2.25,1270,1566,2.0,0,8,2014
592500,4,2.5,2240,12032,1.0,0,9,1983
465000,3,2.5,2714,17936,2.0,0,9,2005
477000,4,2.75,1720,6270,2.0,0,8,1978
280000,2,1.0,850,16400,1.0,0,6,1923
1505000,5,3.0,3300,33474,1.0,0,9,1957
445838,3,2.5,2250,5692,2.0,0,8,2000
1072000,2,2.25,3900,14864,1.0,0,8,1947
467000,2,1.5,1320,10800,1.0,0,8,1947
686000,4,2.5,2760,6440,2.0,0,10,1999
279950,3,2.0,1750,9750,1.0,0,7,1961
527000,4,2.25,2330,19436,2.0,0,8,1987
325000,3,2.25,2220,16020,1.0,0,8,1966
328000,3,2.25,2020,8379,2.0,0,7,1994
390000,3,2.25,1250,7500,1.0,0,7,1942
479950,2,2.0,1510,6516,1.0,0,8,2005
264950,4,2.25,1720,9753,1.0,0,7,1978
235000,3,1.0,1430,15246,1.0,0,7,1961
516500,3,2.5,1480,4729,2.0,0,7,2004
655000,2,1.75,1450,15798,2.0,1,7,1915
500000,4,2.75,2280,15347,1.0,0,7,1960
315000,6,2.75,2940,7350,1.0,0,8,1978
213000,2,1.0,1000,10200,1.0,0,6,1961
475000,3,1.5,2480,5280,1.5,0,7,1947
1025000,5,4.0,3760,28040,2.0,0,10,1983
416000,3,2.0,2220,94300,1.0,0,7,1976
410000,4,1.0,1970,4740,1.5,0,7,1904
800000,3,3.5,3830,221284,2.0,0,10,1993
472000,6,2.5,4410,14034,1.0,0,9,1965
225000,3,1.75,1430,8505,1.0,0,7,1968
210000,2,1.0,830,6000,1.0,0,6,1940
455000,2,1.0,1430,5000,1.5,0,7,1925
225000,3,1.0,1300,8316,1.0,0,6,1954
480000,2,1.0,1030,3060,1.0,0,7,1918
363000,3,2.5,2740,11872,2.0,0,9,1990
2400000,4,2.5,3650,8354,1.0,1,9,2000
181000,2,1.5,720,5120,1.0,0,6,1954
250000,4,2.0,2010,7312,1.0,0,7,1976
481000,3,1.75,1560,3000,1.0,0,6,1918
260000,3,2.0,1810,7209,1.0,0,7,1978
455000,4,2.5,3360,7685,2.0,0,9,2001
415000,3,2.25,1510,36224,2.0,0,8,1991
349500,3,1.0,1400,3538,1.0,0,7,1953
245000,3,2.5,1730,7442,2.0,0,7,1987
592500,2,2.0,1420,9191,1.5,0,7,1928
385000,4,1.75,2360,7620,1.0,0,7,1955
315000,3,1.75,1580,11455,1.0,0,7,1974
255000,3,1.0,1230,10170,1.0,0,7,1979
693000,4,2.5,2460,4425,2.0,0,8,2006
780000,3,1.0,1660,4400,1.5,0,8,1911
237000,3,1.75,1270,8470,1.0,0,7,1960
525000,3,2.25,2100,40510,2.0,0,10,1979
425000,2,1.0,770,5040,1.0,0,5,1930
369900,1,0.75,760,10079,1.0,1,5,1936
290000,4,2.5,1700,7280,2.0,0,7,1988
285000,3,1.0,1120,10701,1.0,0,7,1954
415000,2,1.0,1070,4500,1.0,0,7,1937
272500,3,2.5,2070,9900,1.0,0,8,1979
2900000,4,3.25,5050,20100,1.5,0,11,1982
1365000,4,4.75,5310,57346,2.0,0,11,1989
436000,2,1.0,1040,7538,1.0,0,7,1939
210000,3,1.0,1700,11390,1.0,0,7,1967
236000,3,1.0,1300,5898,1.0,0,7,1961
331000,3,1.75,1080,1306,1.0,0,7,1954
365000,3,2.5,2653,4510,2.0,0,8,2006
450000,3,2.0,2290,16258,1.0,0,8,1960
770000,4,2.75,3820,26300,2.0,0,9,2014
455000,4,2.5,2210,49375,1.0,0,8,1997
405000,3,1.75,2390,6000,1.0,0,6,1908
304900,4,1.75,2600,11325,1.0,0,7,1969
170000,2,1.0,860,5265,1.0,0,6,1931
2050000,5,3.0,3830,8480,2.0,0,9,1905
780000,4,2.5,3500,7048,2.0,0,9,2005
330000,3,3.0,2420,13959,1.0,0,8,1988
370000,4,2.5,2720,8666,2.0,0,9,1992
467000,5,2.25,2500,13500,1.0,0,7,1979
405000,3,1.75,1670,6720,1.0,0,7,1980
675000,5,2.25,2900,10300,1.0,0,8,1985
500000,2,1.0,1640,14100,1.0,0,7,1954
389999,4,2.5,1890,15770,2.0,0,7,1968
630000,4,1.75,2950,9025,1.0,0,8,1975
360000,4,2.5,2160,9528,2.0,0,9,1992
580000,4,3.0,3280,11060,2.0,0,8,1986
550000,3,2.0,1970,4166,2.0,0,8,1929
879000,4,2.5,3360,22111,2.0,0,10,1994
265000,3,2.0,1320,8959,1.0,0,7,1993
446500,3,2.5,2650,7286,2.0,0,8,1990
404000,3,1.5,2030,8880,1.0,0,7,1963
267500,3,1.75,1590,11914,1.0,0,7,1957
3075000,4,5.0,4550,18641,1.0,1,10,2002
335000,3,2.5,2440,7632,2.0,0,8,1998
576000,3,2.5,1940,9000,1.0,0,7,1948
208633,3,2.5,2040,3810,2.0,0,8,2006
315000,3,2.25,2200,8750,1.0,0,7,1964
725000,3,1.75,1920,3300,1.0,0,8,1913
550000,4,2.75,1800,7750,1.0,0,8,1965
610750,4,2.25,2180,7297,2.0,0,8,1984
550700,2,1.0,1010,5000,1.5,0,6,1908
665000,4,2.75,3320,10574,2.0,0,8,1960
834000,4,2.5,2370,4000,1.5,0,8,1928
201000,5,1.75,1660,78408,1.5,0,6,1915
2384000,5,2.5,3650,9050,2.0,0,10,1921
1384000,4,3.25,4290,12103,1.0,0,11,1997
1400000,4,3.25,4290,12103,1.0,0,11,1997
305000,4,2.25,1950,7700,1.0,0,8,1979
487000,3,2.0,2590,14052,1.0,0,8,1948
390000,3,2.5,1930,64904,1.0,0,8,1988
548000,2,1.0,1470,3864,1.0,0,7,1916
268750,4,1.0,800,8775,1.0,0,6,1943
819900,5,2.75,3150,7119,2.0,0,9,2013
520000,3,2.25,2030,16200,2.0,0,8,1984
230000,3,2.0,1450,11204,1.0,0,7,2003
240000,3,1.75,1510,10248,1.0,0,7,1969
232000,2,1.0,1240,12092,1.0,0,6,1922
240500,2,1.0,1240,12092,1.0,0,6,1922
274975,3,2.5,3030,45004,2.0,0,9,1987
740000,4,2.0,2050,4400,1.5,0,9,1922
186375,3,1.0,1000,7636,1.0,0,7,1952
790000,3,2.25,2370,10289,1.0,0,9,1977
880000,4,3.5,2800,6750,2.0,0,9,1951
279000,6,1.75,2240,11180,2.0,0,7,1955
295000,3,2.0,1810,10530,1.0,0,8,1991
640000,2,1.0,1070,5000,1.0,0,7,1924
940000,4,2.0,2490,9525,2.0,0,9,1968
260000,4,2.5,1960,5238,2.0,0,7,2003
559900,3,2.75,2930,5569,1.0,0,9,2004
791500,4,2.0,1510,3500,1.5,0,7,1911
265000,3,1.75,1420,8250,1.0,0,7,1954
245000,3,1.75,1740,11547,1.0,0,7,1954
485000,4,1.75,2560,43995,2.0,0,7,1962
684000,4,3.5,3040,8414,2.0,0,9,2010
425000,3,1.75,2500,6840,1.0,0,8,1957
309600,4,1.75,1275,20000,1.0,0,6,1991
552250,4,2.5,2580,5823,2.0,0,8,2002
165000,4,1.0,1000,7134,1.0,0,6,1943
239900,4,1.0,1000,7134,1.0,0,6,1943
320000,2,1.0,1070,32633,1.0,0,6,1930
206600,3,2.0,1390,13464,1.0,0,7,1987
387000,4,1.75,2500,7690,1.0,0,7,1973
299000,1,0.75,560,12120,1.0,0,4,1967
855000,4,2.75,2270,10460,2.0,0,9,1965
315000,3,1.0,1900,14400,1.0,0,7,1954
437500,2,1.0,990,3120,1.0,0,7,1907
252000,4,1.5,1550,19800,1.0,0,7,1969
375000,4,1.75,2200,7475,1.0,0,7,1955
300000,4,2.5,1910,4862,2.0,0,7,2005
420000,4,1.0,1750,9600,1.5,0,7,1954
900000,3,1.0,1330,77972,1.0,0,7,1928
679900,3,2.5,2440,5750,2.0,0,9,2000
463000,3,2.5,1640,29970,2.0,0,7,1992
380000,5,2.5,2760,11340,2.0,0,9,1978
329500,4,2.5,1820,7912,2.0,0,7,1994
604950,3,2.5,2110,5608,1.0,0,8,2013
795000,5,2.5,3040,9570,1.0,0,8,1966
465000,3,2.0,1840,40438,2.0,0,7,1994
673000,4,2.5,2990,10400,2.0,0,9,2002
810000,4,2.5,3520,15420,2.0,0,10,1991
785000,4,2.75,2440,69415,1.0,0,8,1989
338000,4,3.0,2090,7500,1.0,0,7,1986
280000,3,2.25,1430,7222,2.0,0,7,1993
315000,4,2.25,2180,10754,1.0,0,7,1954
530000,4,2.25,2180,10754,1.0,0,7,1954
380000,5,3.0,3450,9914,2.0,0,9,2004
297000,3,2.25,1450,7562,2.0,0,7,1994
730000,4,2.5,3230,7331,2.0,0,10,2004
450000,3,1.75,1640,13500,1.0,0,7,1940
275000,3,3.0,1590,7750,1.0,0,7,1997
595000,4,2.0,2020,2849,2.0,0,7,1960
435000,3,1.5,1300,3348,1.5,0,7,1904
270000,2,1.5,1380,209959,1.0,0,6,1954
950000,3,3.0,4040,14338,2.0,0,10,1986
389000,4,2.25,2130,5337,2.0,0,7,2001
560000,4,2.25,2550,7800,1.0,0,8,1968
1350000,5,3.5,4800,14984,2.0,0,11,1998
799000,4,2.25,2510,11585,2.0,0,8,1969
365500,3,2.0,1410,9600,1.0,0,7,1983
252350,3,2.0,1650,7352,1.0,0,7,1979
403950,4,2.5,2120,13780,2.0,0,8,1993
385000,4,1.5,2040,10726,1.0,0,7,1954
345000,4,1.0,1550,7620,1.5,0,7,1957
490000,3,2.75,1980,3128,2.0,0,9,1979
330000,3,2.5,1600,26977,2.0,0,8,2005
927000,4,2.75,3300,12090,2.0,0,8,1953
1118000,4,2.5,3840,16619,2.0,0,10,1983
330000,2,1.0,1220,10000,1.0,0,7,1950
530000,5,2.25,2720,8800,1.0,0,7,1958
365000,4,2.0,1940,25600,1.0,0,8,1962
378750,3,2.5,2160,3000,1.5,0,7,1909
269900,4,1.75,1530,8750,1.5,0,7,1968
557000,3,3.5,1710,2096,2.0,0,8,2008
360000,4,1.75,3730,16980,1.0,0,7,1974
352000,2,1.0,940,5000,1.0,0,7,1937
437000,3,2.5,1750,22357,2.0,0,8,1994
322500,4,2.5,1820,6753,2.0,0,7,1994
650000,3,3.25,1510,2000,2.0,0,9,2001
450000,3,2.0,1290,1213,3.0,0,8,2001
278500,3,2.0,1570,5250,1.0,0,7,1998
364950,4,2.5,1930,6957,2.0,0,8,1995
840000,4,3.5,2840,40139,1.0,0,10,1986
268000,3,2.5,1550,8134,2.0,0,7,1991
517534,2,1.0,833,143947,1.0,0,5,2006
632925,3,2.5,2990,32239,2.0,0,8,1978
577500,3,2.5,2000,7251,2.0,0,9,1995
339000,4,1.5,2390,7480,1.5,0,7,1920
570000,3,1.75,2910,37461,1.0,0,7,1967
563500,4,1.75,2085,174240,1.0,0,7,1964
423000,4,2.25,2200,9351,1.0,0,7,1962
355000,3,2.25,1860,5028,2.0,0,8,2012
1550000,5,4.25,6070,171626,2.0,0,12,1999
482000,2,1.0,950,3960,1.0,0,7,1941
625000,3,1.75,1600,9135,1.0,0,7,1955
538000,3,2.5,2250,11632,2.0,0,8,1988
380000,3,2.5,2280,10255,2.0,0,8,1985
375000,2,1.0,940,5120,1.0,0,7,1909
245000,3,2.5,1530,8500,1.0,0,7,1996
310000,5,1.75,2190,27260,1.0,0,7,1947
1300000,3,2.0,2350,15021,1.0,0,8,1976
397000,4,2.0,1440,7680,1.0,0,7,1971
365000,3,2.5,2200,4052,2.0,0,8,2005
328500,4,3.0,2290,8250,2.0,0,9,1990
988000,4,3.0,4040,19700,2.0,0,11,1987
1000000,4,2.5,2610,3277,1.5,0,8,1922
237000,3,2.5,1490,2138,2.0,0,7,2005
525000,4,2.5,2450,5280,2.0,0,8,2003
749000,4,2.5,1710,9627,1.0,0,9,1976
722500,5,2.5,4870,11800,2.0,0,10,1983
843000,3,2.5,3130,8750,2.0,0,10,1991
438000,2,2.0,1270,1372,3.0,0,8,2000
578000,3,1.75,2120,10875,1.0,0,8,1977
227950,3,1.5,1670,8230,1.0,0,7,1954
196000,3,2.25,2070,11576,2.0,0,7,1974
641000,2,1.0,1420,5332,1.0,0,8,1953
350000,3,1.5,1250,219978,1.0,0,6,1980
205000,3,1.0,940,7980,1.0,0,7,1960
400000,3,1.75,1920,9102,1.0,0,7,1968
1030000,3,2.5,3545,9816,1.0,0,10,2005
505000,3,2.0,1260,5460,1.0,0,7,1972
475000,5,2.5,2340,7200,1.0,0,7,1975
520000,3,2.25,2590,9263,1.0,0,8,1977
1450000,3,4.5,3970,24920,2.0,0,10,1977
333500,3,1.75,1220,9732,1.0,0,7,1965
232000,3,1.0,1400,10403,1.0,0,6,1976
691100,3,2.75,2360,16117,1.0,0,8,1983
811000,3,1.75,1870,9897,1.0,0,8,1960
551000,3,2.5,2830,5802,2.0,0,9,2001
496500,3,2.5,2260,3640,2.0,0,8,1994
705000,3,3.0,1970,20978,2.0,1,9,1980
578000,4,2.5,3140,9225,1.0,0,9,1966
255000,3,1.75,1240,8659,1.0,0,7,1986
1050000,4,3.5,3450,7832,2.0,0,10,2007
348000,3,2.25,2570,8491,2.0,0,8,1989
230000,3,2.0,1510,3413,2.0,0,7,1985
359500,4,2.25,2390,11250,2.0,0,9,1988
330000,3,1.0,980,7000,1.0,0,6,1953
80000,1,0.75,430,5050,1.0,0,4,1912
465000,3,1.75,1480,6360,1.0,0,7,1954
325000,4,2.5,1850,7324,2.0,0,8,1997
340500,3,2.0,2270,28025,1.0,0,7,1947
342500,3,2.5,1810,5192,2.0,0,8,1993
290900,2,2.0,1610,17600,2.0,0,6,1930
868700,3,4.25,3840,6161,2.0,0,10,2000
1199000,4,2.75,4110,8400,2.0,0,9,1928
1150000,4,3.25,4190,10259,2.0,0,11,2000
859900,4,2.75,3390,6298,2.0,0,9,2011
520000,4,2.25,1890,3006,2.0,0,7,2003
460000,3,2.5,1610,2527,2.0,0,9,2005
438924,3,1.5,1050,4590,1.0,0,7,1949
315000,2,1.0,630,6550,1.0,0,5,1918
590000,4,2.75,2910,10650,1.0,0,8,1975
378500,4,1.75,1700,8640,1.0,0,7,1955
328500,3,2.5,1950,8130,2.0,0,9,1990
849950,3,3.0,2990,9773,2.0,0,8,1973
525000,3,1.5,1350,6000,1.0,0,7,1950
1385000,4,3.25,4860,181319,2.5,0,9,1993
295000,4,2.5,2160,7725,1.0,0,8,1978
1067000,6,3.5,4860,11793,2.0,0,11,1998
207950,2,2.0,890,5000,1.0,0,6,1917
699900,4,2.75,2810,7302,2.0,0,9,2002
1280000,5,2.5,3400,9500,2.0,0,8,1977
452000,4,1.5,1580,7350,1.0,0,7,1963
370000,3,2.0,1680,5036,1.0,0,7,1987
232000,3,1.75,1300,11230,1.0,0,7,1968
669950,5,2.5,2820,14062,2.0,0,7,1960
397500,3,2.0,1510,6710,1.0,0,7,1972
490000,2,2.5,1230,1391,2.0,0,8,2004
725000,4,2.0,2110,4140,2.0,0,9,1925
299000,3,2.75,3080,19635,1.0,0,7,1958
625000,2,1.5,1490,5750,1.5,0,7,1900
437500,3,2.5,2120,4500,2.0,0,7,2000
